,connectionTime,disconnectTime,siteID,spaceID,userID,userInputs/0/WhPerMile,userInputs/0/kWhRequested,userInputs/0/milesRequested,userInputs/0/minutesAvailable,userInputs/0/modifiedAt,userInputs/0/paymentRequired,userInputs/0/requestedDeparture
915,6.944444444444445,0.8524999999999999,1,324,3499.0,400.0,8.0,20.0,60.0,6.945277777777778,1.0,7.944444444444445
916,7.028333333333333,1.7877777777777777,1,326,414.0,400.0,16.0,40.0,540.0,7.036388888888888,1.0,16.028333333333332
917,7.107222222222222,23.093888888888888,1,450,2500.0,250.0,15.0,60.0,478.0,7.107222222222222,1.0,15.073888888888888
918,7.153333333333333,1.27,1,319,3271.0,275.0,13.75,50.0,525.0,7.1625000000000005,1.0,15.903333333333334
919,7.155555555555556,20.239166666666666,1,449,3328.0,286.0,40.04,140.0,1170.0,7.24,1.0,2.6555555555555554
920,7.161111111111111,0.17972222222222223,1,321,346.0,400.0,16.0,40.0,250.0,7.167222222222223,1.0,11.327777777777778
921,7.178333333333334,21.165,1,322,3687.0,364.0,69.16,190.0,720.0,7.1825,1.0,19.178333333333335
922,7.188611111111111,0.12083333333333333,1,317,1797.0,400.0,8.0,20.0,249.0,7.188611111111111,1.0,11.338611111111112
923,7.249722222222222,20.448055555555555,1,320,2507.0,300.0,33.0,110.0,310.0,7.276666666666666,1.0,12.41638888888889
924,7.319999999999999,1.7408333333333335,1,443,581.0,400.0,32.0,80.0,469.0,7.35361111111111,1.0,15.136666666666667
925,7.354444444444444,0.4202777777777778,1,438,313.0,400.0,80.0,200.0,454.0,7.359722222222222,1.0,14.921111111111111
926,7.371944444444444,21.16777777777778,1,441,2115.0,600.0,30.0,50.0,536.0,7.373333333333333,1.0,16.30527777777778
927,7.37611111111111,19.478888888888886,1,451,1528.0,400.0,36.0,90.0,506.0,7.378333333333333,1.0,15.809444444444445
928,7.3805555555555555,0.5811111111111111,1,435,3201.0,333.0,19.98,60.0,530.0,7.381666666666666,1.0,16.21388888888889
929,7.39638888888889,0.6952777777777778,1,445,1239.0,600.0,30.0,50.0,375.0,7.4094444444444445,1.0,13.646388888888888
930,7.456944444444445,1.0580555555555555,1,447,3670.0,400.0,32.0,80.0,304.0,7.457222222222223,1.0,12.523611111111112
931,7.470555555555555,20.32638888888889,1,442,474.0,400.0,40.0,100.0,552.0,7.484444444444445,1.0,16.670555555555556
932,7.487222222222222,23.03805555555556,1,437,577.0,333.0,6.66,20.0,493.0,7.4880555555555555,1.0,15.703888888888889
933,7.557222222222222,2.835277777777778,1,448,462.0,400.0,8.0,20.0,60.0,7.564166666666667,1.0,8.557222222222222
934,7.613333333333333,1.3369444444444443,1,440,526.0,600.0,24.0,40.0,342.0,7.6225000000000005,1.0,13.313333333333334
935,7.651666666666667,0.5786111111111111,1,439,386.0,500.0,10.0,20.0,511.0,7.653888888888889,1.0,16.168333333333333
936,7.670833333333333,1.3658333333333335,1,436,2129.0,400.0,16.0,40.0,60.0,7.676944444444445,1.0,8.670833333333333
937,7.708888888888889,19.649722222222223,1,446,826.0,200.0,14.0,70.0,610.0,7.716111111111111,1.0,17.875555555555557
938,11.17,1.2200000000000002,1,323,383.0,400.0,16.0,40.0,245.0,11.17861111111111,1.0,15.253333333333334
939,11.401944444444444,23.584444444444443,1,327,374.0,333.0,53.28,160.0,60.0,11.405833333333334,1.0,12.401944444444444
940,11.547777777777778,1.5125,1,451,1297.0,400.0,20.0,50.0,60.0,11.5475,1.0,12.547777777777778
941,12.110555555555555,1.7119444444444445,1,446,2052.0,375.0,33.75,90.0,310.0,12.121944444444445,1.0,17.27722222222222
942,12.576944444444445,1.5402777777777776,1,442,1754.0,200.0,42.0,210.0,432.0,12.585833333333333,1.0,19.776944444444442
943,12.660555555555556,5.34,1,320,2281.0,229.0,45.8,200.0,439.0,12.674444444444443,1.0,19.97722222222222
944,12.661666666666667,1.9180555555555554,1,105,1078.0,400.0,12.0,30.0,260.0,12.665833333333333,1.0,16.995
945,12.719722222222222,6.186111111111112,1,449,341.0,400.0,16.0,40.0,204.0,12.751944444444444,1.0,16.119722222222222
946,13.395555555555555,2.9880555555555555,1,441,379.0,400.0,20.0,50.0,255.0,13.400833333333333,1.0,17.645555555555553
947,13.428888888888888,0.39333333333333337,1,322,2148.0,400.0,8.0,20.0,214.0,13.428888888888888,1.0,16.995555555555555
948,13.452777777777778,2.262777777777778,1,113,608.0,333.0,29.97,90.0,241.0,13.466944444444444,1.0,17.46944444444444
949,15.054444444444446,1.4769444444444446,1,109,943.0,400.0,16.0,40.0,184.0,15.057777777777778,1.0,18.121111111111112
950,15.203333333333333,0.9230555555555555,1,101,420.0,267.0,16.02,60.0,99.0,15.208055555555555,1.0,16.853333333333335
951,15.350833333333332,0.6402777777777777,1,106,347.0,400.0,8.0,20.0,60.0,15.35361111111111,1.0,16.350833333333334
952,15.398333333333333,1.7955555555555553,1,437,4007.0,286.0,20.02,70.0,543.0,15.398333333333333,1.0,0.44833333333333336
953,15.538333333333334,3.1125000000000003,1,329,3687.0,364.0,69.16,190.0,720.0,15.546944444444444,1.0,3.538333333333333
954,16.340833333333332,1.8688888888888888,1,102,362.0,400.0,40.0,100.0,101.0,16.34638888888889,1.0,18.024166666666666
955,16.3725,3.0225,1,450,2299.0,400.0,20.0,50.0,254.0,16.3725,1.0,20.605833333333333
956,16.54138888888889,3.2461111111111114,1,111,220.0,400.0,8.0,20.0,68.0,16.553611111111113,1.0,17.674722222222222
957,18.59,7.221388888888889,1,113,382.0,400.0,20.0,50.0,205.0,18.596944444444443,1.0,22.006666666666668
958,21.399444444444445,8.814722222222223,1,108,405.0,400.0,8.0,20.0,197.0,21.405555555555555,1.0,0.6827777777777777
959,3.785833333333333,23.939444444444444,1,106,726.0,400.0,32.0,80.0,494.0,3.7866666666666666,1.0,12.019166666666667
960,3.9491666666666667,21.348888888888887,1,113,467.0,400.0,16.0,40.0,169.0,3.9511111111111115,1.0,6.765833333333333
961,4.171388888888889,23.801944444444445,1,109,933.0,385.0,42.35,110.0,473.0,4.180000000000001,1.0,12.054722222222223
962,5.019722222222222,23.572222222222223,1,101,3836.0,400.0,8.0,20.0,60.0,5.025277777777777,1.0,6.019722222222222
963,5.563888888888889,23.654166666666665,1,112,3152.0,333.0,16.65,50.0,584.0,5.591666666666667,1.0,15.297222222222222
964,5.655555555555556,23.191111111111113,1,452,483.0,400.0,8.0,20.0,60.0,5.658888888888889,1.0,6.655555555555556
965,5.753611111111111,21.642777777777777,1,108,2187.0,400.0,20.0,50.0,240.0,5.757777777777778,1.0,9.75361111111111
966,5.806388888888889,21.930833333333336,1,107,406.0,600.0,12.0,20.0,589.0,5.811388888888889,1.0,15.623055555555556
967,5.87388888888889,23.69388888888889,1,325,3163.0,275.0,27.5,100.0,551.0,5.873611111111112,1.0,15.057222222222222
968,5.953888888888889,23.325,1,110,4147.0,500.0,15.0,30.0,61.0,5.9625,1.0,6.970555555555555
969,6.070833333333333,23.052500000000002,1,104,334.0,400.0,16.0,40.0,383.0,6.080555555555556,1.0,12.454166666666666
970,6.151111111111112,23.296944444444446,1,103,344.0,400.0,8.0,20.0,60.0,6.1561111111111115,1.0,7.151111111111112
971,6.306388888888889,21.284722222222225,1,332,1733.0,400.0,40.0,100.0,720.0,6.3086111111111105,1.0,18.30638888888889
972,6.324166666666667,0.6344444444444444,1,114,378.0,250.0,30.0,120.0,552.0,6.332777777777777,1.0,15.524166666666668
973,6.327222222222222,21.802500000000002,1,111,651.0,400.0,20.0,50.0,193.0,6.3675,1.0,9.543888888888889
974,6.354166666666666,23.044722222222223,1,105,356.0,400.0,12.0,30.0,383.0,6.35861111111111,1.0,12.737499999999999
975,6.4255555555555555,20.360555555555557,1,102,369.0,400.0,8.0,20.0,60.0,6.425277777777778,1.0,7.4255555555555555
976,6.4494444444444445,1.0038888888888888,1,315,419.0,400.0,40.0,100.0,520.0,6.454722222222222,1.0,15.116111111111111
977,6.470833333333333,20.05138888888889,1,330,416.0,400.0,24.0,60.0,356.0,6.475833333333333,1.0,12.404166666666667
978,6.518888888888889,19.275,1,331,3519.0,600.0,24.0,40.0,624.0,6.518888888888889,1.0,16.91888888888889
979,6.535,23.73888888888889,1,322,529.0,400.0,40.0,100.0,587.0,6.5377777777777775,1.0,16.31833333333333
980,6.541666666666667,23.883055555555558,1,434,3737.0,250.0,45.0,180.0,484.0,6.5441666666666665,1.0,14.608333333333333
981,6.611666666666666,23.76388888888889,1,324,1118.0,400.0,36.0,90.0,533.0,6.6191666666666675,1.0,15.495
982,6.703611111111111,1.6652777777777776,1,327,3687.0,364.0,69.16,190.0,720.0,6.714722222222222,1.0,18.703611111111112
983,6.783611111111111,0.005833333333333334,1,444,2547.0,400.0,40.0,100.0,568.0,6.783333333333333,1.0,16.25027777777778
984,6.801944444444445,0.9908333333333332,1,321,1157.0,400.0,40.0,100.0,597.0,6.804722222222222,1.0,16.751944444444444
985,6.8966666666666665,0.28583333333333333,1,435,1797.0,400.0,8.0,20.0,249.0,6.898055555555555,1.0,11.046666666666667
986,6.9255555555555555,2.5233333333333334,1,449,481.0,475.0,75.05,158.0,720.0,6.9350000000000005,1.0,18.925555555555558
987,7.035,1.2638888888888888,1,316,409.0,400.0,12.0,30.0,593.0,7.039722222222222,1.0,16.918333333333333
988,7.039444444444444,0.7241666666666666,1,437,2129.0,400.0,16.0,40.0,60.0,7.043611111111111,1.0,8.039444444444444
989,7.041111111111111,0.3416666666666667,1,328,1283.0,350.0,56.0,160.0,545.0,7.0472222222222225,1.0,16.124444444444446
990,7.043055555555555,19.229999999999997,1,333,387.0,600.0,126.0,210.0,246.0,7.048055555555555,1.0,11.143055555555556
991,7.068888888888889,2.2516666666666665,1,326,414.0,400.0,16.0,40.0,540.0,7.0777777777777775,1.0,16.06888888888889
992,7.143611111111111,23.715833333333332,1,329,1461.0,350.0,63.0,180.0,600.0,7.143611111111111,1.0,17.14361111111111
993,7.183055555555556,2.4808333333333334,1,323,462.0,400.0,8.0,20.0,60.0,7.188055555555556,1.0,8.183055555555555
994,7.1994444444444445,23.516666666666666,1,443,581.0,400.0,32.0,80.0,469.0,7.203333333333333,1.0,15.016111111111112
995,7.200277777777778,0.7636111111111111,1,320,2507.0,300.0,45.0,150.0,544.0,7.226388888888889,1.0,16.266944444444444
996,7.252777777777778,0.8319444444444444,1,448,443.0,400.0,20.0,50.0,650.0,7.259444444444444,1.0,18.08611111111111
997,7.258611111111111,0.4316666666666667,1,318,428.0,333.0,19.98,60.0,61.0,7.2636111111111115,1.0,8.275277777777779
998,7.3133333333333335,0.0825,1,317,2054.0,250.0,42.5,170.0,521.0,7.320833333333333,1.0,15.996666666666666
999,7.318611111111111,18.221666666666664,1,445,1971.0,400.0,8.0,20.0,165.0,7.321666666666666,1.0,10.06861111111111
